ts,host,url,hour,dns_ms,tcp_ms,tls_ms,server_ms,transfer_ms,total_ms,response_size,http_status,cache_state,conn_reuse,success,error_stage,error_type,source
2026-09-05T22:29:36,httpbin.org,https://httpbin.org/status/500,22,50.332,276.663,556.916,279.228,0.064,1180.883,246,500,cold,0,0,HTTP,status_500,real
2026-09-05T22:29:38,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12034.688,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:29:51,google.com,https://google.com/,22,0.682,45.259,61.87,113.095,0.069,239.0,847,301,cold,0,1,,,real
2026-09-05T22:29:52,cloudflare.com,https://cloudflare.com/,22,0.684,45.589,49.346,138.763,0.137,252.206,1162,301,cold,0,1,,,real
2026-09-05T22:29:54,expired.badssl.com,https://expired.badssl.com/,22,6.122,221.15,,,,469.537,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:29:55,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,0.724,218.994,,,,461.442,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:29:57,github.com,https://github.com/duong-dan-loi-404-test,22,94.761,74.984,79.93,151.671,312.357,730.908,271686,404,cold,0,0,HTTP,status_404,real
2026-09-05T22:29:58,httpbin.org,https://httpbin.org/status/500,22,1.02,266.521,532.561,268.651,0.09,1085.64,246,500,cold,0,0,HTTP,status_500,real
2026-09-05T22:30:00,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12039.71,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:30:13,google.com,https://google.com/,22,5.819,39.503,57.397,113.271,0.107,233.752,847,301,cold,0,1,,,real
2026-09-05T22:30:15,cloudflare.com,https://cloudflare.com/,22,1.12,63.305,52.321,140.234,0.128,274.135,1150,301,cold,0,1,,,real
2026-09-05T22:30:16,expired.badssl.com,https://expired.badssl.com/,22,52.678,217.022,,,,509.321,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:30:17,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,48.601,222.18,,,,512.371,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:30:19,github.com,https://github.com/duong-dan-loi-404-test,22,0.795,65.416,70.54,133.403,267.533,555.628,271690,404,cold,0,0,HTTP,status_404,real
2026-09-05T22:30:21,httpbin.org,https://httpbin.org/status/500,22,0.832,273.173,544.905,273.038,0.093,1109.823,246,500,cold,0,0,HTTP,status_500,real
2026-09-05T22:30:23,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12040.691,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:30:36,google.com,https://google.com/,22,0.703,39.932,58.066,106.779,0.096,227.601,847,301,cold,0,1,,,real
2026-09-05T22:30:37,cloudflare.com,https://cloudflare.com/,22,0.637,46.174,56.536,137.024,0.127,260.416,1156,301,cold,0,1,,,real
2026-09-05T22:30:38,expired.badssl.com,https://expired.badssl.com/,22,0.718,218.77,,,,462.814,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:30:40,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,0.639,217.976,,,,474.31,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:30:41,github.com,https://github.com/duong-dan-loi-404-test,22,1.065,73.364,84.094,152.992,313.299,647.747,271667,404,cold,0,0,HTTP,status_404,real
2026-09-05T22:30:43,httpbin.org,https://httpbin.org/status/500,22,33.788,268.44,534.868,268.744,0.083,1133.913,246,500,cold,0,0,HTTP,status_500,real
2026-09-05T22:30:45,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12045.462,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:30:58,google.com,https://google.com/,22,24.059,53.416,71.34,135.619,0.096,302.372,847,301,cold,0,1,,,real
2026-09-05T22:30:59,cloudflare.com,https://cloudflare.com/,22,0.798,39.18,45.128,122.922,0.086,228.403,1152,301,cold,0,1,,,real
2026-09-05T22:31:00,expired.badssl.com,https://expired.badssl.com/,22,0.735,217.459,,,,460.089,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:31:02,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,1.157,218.708,,,,467.103,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:31:03,github.com,https://github.com/duong-dan-loi-404-test,22,18.024,61.765,66.467,128.801,258.184,550.88,271677,404,cold,0,0,HTTP,status_404,real
2026-09-05T22:31:05,httpbin.org,https://httpbin.org/status/500,22,0.874,277.345,560.103,392.817,0.065,1258.797,246,500,cold,0,0,HTTP,status_500,real
