ts,host,url,hour,dns_ms,tcp_ms,tls_ms,server_ms,transfer_ms,total_ms,response_size,http_status,cache_state,conn_reuse,success,error_stage,error_type,source
2026-08-28T01:52:41,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.262,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:52:41,localhost,http://localhost:3000/normal,1,0.446,0.71,0.0,0.501,0.016,1.709,207,200,cold,0,1,,,local_fault
2026-08-28T01:52:41,localhost,http://localhost:3000/slow-server,1,0.446,0.448,0.0,,,2010.825,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:52:43,localhost,http://localhost:3000/error-500,1,0.436,0.46,0.0,0.571,0.016,1.52,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:52:43,localhost,http://localhost:3000/drop-connection,1,0.234,0.268,0.0,0.177,,0.721,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:52:43,127.0.0.1,http://127.0.0.1:59999/,1,0.04,,,,,2013.093,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:52:45,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.771,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:52:45,localhost,http://localhost:3000/normal,1,0.221,0.383,0.0,0.644,0.01,1.276,207,200,cold,0,1,,,local_fault
2026-08-28T01:52:45,localhost,http://localhost:3000/slow-server,1,0.534,0.358,0.0,,,2007.872,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:52:47,localhost,http://localhost:3000/error-500,1,0.298,0.404,0.0,0.277,0.007,1.003,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:52:47,localhost,http://localhost:3000/drop-connection,1,0.453,0.409,0.0,0.17,,1.076,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:52:47,127.0.0.1,http://127.0.0.1:59999/,1,0.032,,,,,2007.459,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:52:49,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.202,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:52:49,localhost,http://localhost:3000/normal,1,0.217,0.237,0.0,0.285,0.007,0.763,207,200,cold,0,1,,,local_fault
2026-08-28T01:52:49,localhost,http://localhost:3000/slow-server,1,0.244,0.364,0.0,,,2015.62,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:52:51,localhost,http://localhost:3000/error-500,1,0.256,0.262,0.0,0.28,0.008,0.822,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:52:51,localhost,http://localhost:3000/drop-connection,1,0.2,0.221,0.0,0.134,,0.591,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:52:51,127.0.0.1,http://127.0.0.1:59999/,1,0.022,,,,,2014.353,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:52:53,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.879,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:52:53,localhost,http://localhost:3000/normal,1,0.25,22.123,0.0,0.663,0.012,23.08,207,200,cold,0,1,,,local_fault
2026-08-28T01:52:53,localhost,http://localhost:3000/slow-server,1,0.277,0.433,0.0,,,2006.033,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:52:55,localhost,http://localhost:3000/error-500,1,0.271,0.263,0.0,0.437,0.009,1.001,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:52:55,localhost,http://localhost:3000/drop-connection,1,0.304,0.341,0.0,0.152,,0.841,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:52:55,127.0.0.1,http://127.0.0.1:59999/,1,0.02,,,,,2002.946,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:52:57,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,2.558,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:52:57,localhost,http://localhost:3000/normal,1,0.281,20.194,0.0,0.331,0.01,20.847,207,200,cold,0,1,,,local_fault
2026-08-28T01:52:57,localhost,http://localhost:3000/slow-server,1,0.274,0.402,0.0,,,2003.482,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:52:59,localhost,http://localhost:3000/error-500,1,0.26,0.367,0.0,0.274,0.009,0.929,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:52:59,localhost,http://localhost:3000/drop-connection,1,0.212,0.297,0.0,0.132,,0.68,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:52:59,127.0.0.1,http://127.0.0.1:59999/,1,0.029,,,,,2012.864,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:53:01,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.928,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:53:01,localhost,http://localhost:3000/normal,1,0.212,0.359,0.0,0.284,0.007,0.877,207,200,cold,0,1,,,local_fault
2026-08-28T01:53:01,localhost,http://localhost:3000/slow-server,1,0.172,0.278,0.0,,,2015.919,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:53:03,localhost,http://localhost:3000/error-500,1,0.83,0.32,0.0,0.731,0.095,2.002,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:53:03,localhost,http://localhost:3000/drop-connection,1,0.258,0.299,0.0,0.424,,1.039,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:53:03,127.0.0.1,http://127.0.0.1:59999/,1,0.028,,,,,2007.776,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:53:06,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.849,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:53:06,localhost,http://localhost:3000/normal,1,0.276,21.345,0.0,0.327,0.01,21.989,207,200,cold,0,1,,,local_fault
2026-08-28T01:53:06,localhost,http://localhost:3000/slow-server,1,0.283,0.406,0.0,,,2008.59,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:53:08,localhost,http://localhost:3000/error-500,1,0.305,0.411,0.0,0.291,0.009,1.033,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:53:08,localhost,http://localhost:3000/drop-connection,1,0.289,0.415,0.0,0.174,,0.923,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:53:08,127.0.0.1,http://127.0.0.1:59999/,1,0.031,,,,,2012.508,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:53:10,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.004,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:53:10,localhost,http://localhost:3000/normal,1,0.275,0.399,0.0,0.267,0.007,0.964,207,200,cold,0,1,,,local_fault
2026-08-28T01:53:10,localhost,http://localhost:3000/slow-server,1,0.266,0.432,0.0,,,2001.321,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:53:12,localhost,http://localhost:3000/error-500,1,0.302,0.411,0.0,0.276,0.007,1.013,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:53:12,localhost,http://localhost:3000/drop-connection,1,0.293,0.399,0.0,0.168,,0.904,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:53:12,127.0.0.1,http://127.0.0.1:59999/,1,0.031,,,,,2000.154,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:53:14,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,2.625,0,,cold,0,0,DNS,gaierror,local_fault
